Date;HomeTeam;AwayTeam;FTHG;FTAG
17/08/2018;Betis;Levante;0;3
17/08/2018;Girona;Valladolid;0;0
18/08/2018;Barcelona;Alaves;3;0
18/08/2018;Celta;Espanol;1;1
18/08/2018;Villarreal;Sociedad;1;2
19/08/2018;Eibar;Huesca;1;2
19/08/2018;Real Madrid;Getafe;2;0
19/08/2018;Vallecano;Sevilla;1;4
20/08/2018;Ath Bilbao;Leganes;2;1
20/08/2018;Valencia;Ath Madrid;1;1
24/08/2018;Getafe;Eibar;2;0
24/08/2018;Leganes;Sociedad;2;2
25/08/2018;Alaves;Betis;0;0
25/08/2018;Ath Madrid;Vallecano;1;0
25/08/2018;Valladolid;Barcelona;0;1
26/08/2018;Espanol;Valencia;2;0
26/08/2018;Girona;Real Madrid;1;4
26/08/2018;Sevilla;Villarreal;0;0
27/08/2018;Ath Bilbao;Huesca;2;2
27/08/2018;Levante;Celta;1;2
31/08/2018;Eibar;Sociedad;2;1
31/08/2018;Getafe;Valladolid;0;0
31/08/2018;Villarreal;Girona;0;1
01/09/2018;Celta;Ath Madrid;2;0
01/09/2018;Real Madrid;Leganes;4;1
02/09/2018;Alaves;Espanol;2;1
02/09/2018;Barcelona;Huesca;8;2
02/09/2018;Betis;Sevilla;1;0
02/09/2018;Levante;Valencia;2;2
14/09/2018;Huesca;Vallecano;0;1
15/09/2018;Ath Bilbao;Real Madrid;1;1
15/09/2018;Ath Madrid;Eibar;1;1
15/09/2018;Sociedad;Barcelona;1;2
15/09/2018;Valencia;Betis;0;0
16/09/2018;Espanol;Levante;1;0
16/09/2018;Leganes;Villarreal;0;1
16/09/2018;Sevilla;Getafe;0;2
16/09/2018;Valladolid;Alaves;0;1
17/09/2018;Girona;Celta;3;2
21/09/2018;Huesca;Sociedad;0;1
22/09/2018;Celta;Valladolid;3;3
22/09/2018;Eibar;Leganes;1;0
22/09/2018;Getafe;Ath Madrid;0;2
22/09/2018;Real Madrid;Espanol;1;0
22/09/2018;Vallecano;Alaves;1;5
23/09/2018;Barcelona;Girona;2;2
23/09/2018;Betis;Ath Bilbao;2;2
23/09/2018;Levante;Sevilla;2;6
23/09/2018;Villarreal;Valencia;0;0
25/09/2018;Ath Madrid;Huesca;3;0
25/09/2018;Espanol;Eibar;1;0
